user_id,experiment_group,device_type,traffic_source,region,landing_page,sessions,avg_session_duration_sec,pages_viewed,signed_up,purchased,order_value,revenue
USER-00065,control,Mobile,Social,West,Homepage,4,273.0,6.0,0,0,58.27,0.0
USER-00066,treatment,Desktop,Social,South,Features,4,200.2,8.2,1,0,108.48,0.0
USER-00067,treatment,Mobile,Email,South,Homepage,7,227.4,4.2,1,0,125.38,0.0
USER-00068,control,Mobile,Paid Search,North,Pricing,5,220.8,6.4,1,0,60.18,0.0
USER-00069,treatment,Mobile,Social,West,Homepage,5,217.1,5.6,0,0,142.69,0.0
USER-00070,control,Mobile,Paid Search,East,Homepage,7,167.8,6.2,1,0,117.98,0.0
USER-00071,control,Desktop,Organic Search,West,Homepage,6,181.4,5.0,1,0,156.63,0.0
USER-00072,control,Desktop,Email,North,Pricing,3,284.8,7.2,1,0,139.98,0.0
USER-00073,treatment,Tablet,Organic Search,East,Features,4,203.7,8.5,1,0,112.83,0.0
USER-00074,treatment,Mobile,Organic Search,West,Homepage,8,164.7,6.0,0,0,139.4,0.0
USER-00075,control,Mobile,Organic Search,South,Pricing,4,188.0,6.1,0,0,135.98,0.0
USER-00076,control,Mobile,Social,South,Features,7,136.5,7.5,0,0,97.95,0.0
USER-00077,treatment,Mobile,Organic Search,East,Pricing,1,190.4,7.4,1,1,108.06,108.06
USER-00078,control,Mobile,Paid Search,North,Pricing,3,191.4,5.4,0,0,120.96,0.0
USER-00079,treatment,Mobile,Organic Search,East,Features,5,201.9,8.2,1,0,103.71,0.0
USER-00080,treatment,Mobile,Organic Search,South,Pricing,2,175.4,5.1,1,1,90.5,90.5
USER-00081,treatment,Mobile,Organic Search,West,Homepage,5,224.1,5.6,0,0,123.49,0.0
USER-00082,control,Desktop,Social,West,Pricing,7,210.5,5.9,1,1,175.57,175.57
USER-00083,control,Mobile,Organic Search,East,Homepage,3,200.2,4.5,0,0,100.87,0.0
USER-00084,treatment,Desktop,Email,East,Pricing,6,226.7,4.5,0,0,114.23,0.0
USER-00085,treatment,Mobile,Email,North,Homepage,9,195.0,6.7,0,0,98.83,0.0
USER-00086,treatment,Mobile,Organic Search,East,Pricing,3,240.9,6.9,0,0,126.17,0.0
USER-00087,control,Tablet,Organic Search,East,Pricing,5,232.7,6.8,1,1,149.8,149.8
USER-00088,control,Mobile,Organic Search,North,Pricing,2,213.3,3.5,0,0,123.1,0.0
USER-00089,control,Mobile,Paid Search,South,Pricing,4,156.3,7.1,1,0,82.24,0.0
USER-00090,control,Mobile,Paid Search,East,Pricing,6,247.2,3.5,0,0,96.67,0.0
USER-00091,treatment,Mobile,Paid Search,West,Features,3,134.1,8.1,0,0,122.64,0.0
USER-00092,treatment,Mobile,Paid Search,North,Features,6,291.8,9.0,0,0,117.26,0.0
USER-00093,control,Desktop,Paid Search,West,Homepage,6,253.8,5.1,0,0,97.72,0.0
USER-00094,control,Desktop,Organic Search,East,Features,4,292.9,8.3,1,0,106.87,0.0
USER-00095,control,Mobile,Paid Search,North,Features,3,276.4,4.2,0,0,108.74,0.0
USER-00096,control,Mobile,Social,East,Pricing,5,94.7,6.8,1,0,73.28,0.0
USER-00097,control,Mobile,Organic Search,West,Pricing,6,180.9,3.1,0,0,117.16,0.0
USER-00098,control,Desktop,Paid Search,West,Features,4,278.7,6.4,0,0,105.97,0.0
USER-00099,control,Mobile,Email,North,Pricing,8,270.7,5.0,1,0,120.11,0.0
USER-00100,treatment,Mobile,Email,East,Homepage,8,151.8,5.4,0,0,100.41,0.0
USER-00101,control,Desktop,Social,East,Features,2,202.4,6.0,0,0,104.33,0.0
USER-00102,treatment,Mobile,Paid Search,North,Pricing,6,273.2,5.7,0,0,159.56,0.0
USER-00103,treatment,Desktop,Organic Search,East,Features,4,225.9,6.2,0,0,110.93,0.0
USER-00104,control,Tablet,Email,South,Pricing,7,219.7,6.4,1,1,97.37,97.37
USER-00105,control,Mobile,Organic Search,North,Pricing,2,213.0,5.7,0,0,99.0,0.0
USER-00106,control,Desktop,Organic Search,West,Features,6,281.9,6.0,0,0,91.81,0.0
USER-00107,treatment,Mobile,Social,East,Homepage,5,255.5,5.0,1,0,125.01,0.0
USER-00108,treatment,Tablet,Social,West,Pricing,6,255.7,2.7,1,1,115.5,115.5
USER-00109,control,Mobile,Paid Search,North,Homepage,3,228.2,4.4,1,0,86.98,0.0
USER-00110,treatment,Mobile,Organic Search,East,Features,6,215.6,9.0,1,0,99.96,0.0
USER-00111,treatment,Mobile,Social,South,Pricing,2,303.0,2.9,0,0,121.04,0.0
USER-00112,treatment,Mobile,Paid Search,West,Homepage,5,193.2,5.1,0,1,133.58,133.58
USER-00113,control,Mobile,Organic Search,South,Pricing,3,140.4,4.9,0,0,112.23,0.0
USER-00114,treatment,Tablet,Email,East,Pricing,5,161.2,6.4,0,0,103.82,0.0
USER-00115,treatment,Desktop,Paid Search,West,Homepage,5,310.0,5.8,0,1,77.08,77.08
USER-00116,control,Desktop,Organic Search,East,Homepage,5,173.5,7.7,1,0,99.54,0.0
USER-00117,treatment,Desktop,Social,East,Homepage,4,289.3,7.2,0,0,106.11,0.0
USER-00118,control,Mobile,Organic Search,West,Homepage,3,140.0,4.8,1,0,82.4,0.0
USER-00119,control,Desktop,Paid Search,East,Features,2,247.6,4.2,0,0,118.95,0.0
USER-00120,treatment,Desktop,Paid Search,North,Homepage,5,252.0,7.2,0,0,94.82,0.0
USER-00121,control,Mobile,Organic Search,North,Features,4,182.9,7.7,0,0,156.71,0.0
USER-00122,treatment,Mobile,Paid Search,West,Features,5,227.9,8.9,0,0,125.62,0.0
USER-00123,treatment,Mobile,Email,West,Pricing,4,313.6,8.0,0,1,166.38,166.38
USER-00124,treatment,Mobile,Paid Search,East,Features,5,270.6,6.9,0,0,114.29,0.0
USER-00125,control,Mobile,Organic Search,South,Features,3,296.3,7.0,0,0,109.59,0.0
USER-00126,control,Mobile,Email,North,Pricing,6,258.3,4.7,0,0,166.31,0.0
USER-00127,treatment,Tablet,Email,South,Pricing,5,286.1,5.9,0,0,123.49,0.0
USER-00128,control,Mobile,Email,East,Pricing,3,259.2,8.7,1,1,141.57,141.57
USER-00129,control,Mobile,Paid Search,West,Features,4,194.5,6.4,0,1,107.82,107.82
USER-00130,treatment,Mobile,Organic Search,South,Pricing,4,253.0,4.1,1,0,115.04,0.0
USER-00131,treatment,Mobile,Organic Search,South,Features,5,298.8,6.4,1,0,144.17,0.0
USER-00132,treatment,Desktop,Organic Search,West,Features,4,258.7,6.7,0,0,108.4,0.0
USER-00133,treatment,Mobile,Email,North,Pricing,6,241.2,5.1,1,0,70.8,0.0
USER-00134,control,Tablet,Organic Search,West,Homepage,5,237.0,4.0,0,1,84.9,84.9
USER-00135,control,Mobile,Social,South,Pricing,4,284.4,7.6,0,0,121.37,0.0
USER-00136,treatment,Mobile,Paid Search,East,Pricing,4,169.2,5.4,0,0,105.25,0.0
USER-00137,control,Desktop,Email,East,Features,8,319.2,6.2,1,0,137.1,0.0
USER-00138,treatment,Mobile,Email,West,Homepage,3,189.3,7.6,0,0,105.5,0.0
USER-00139,treatment,Desktop,Social,North,Pricing,4,239.2,6.9,0,0,145.1,0.0
USER-00140,control,Mobile,Organic Search,West,Features,7,251.9,4.6,0,0,120.59,0.0
USER-00141,control,Mobile,Social,North,Features,6,176.4,4.7,0,0,32.17,0.0
USER-00142,control,Desktop,Organic Search,South,Pricing,7,289.4,7.4,1,0,151.46,0.0
USER-00143,control,Desktop,Email,North,Features,4,255.3,5.8,1,0,81.14,0.0
USER-00144,treatment,Desktop,Paid Search,South,Features,3,286.6,8.9,1,0,163.41,0.0
USER-00145,treatment,Mobile,Social,North,Features,4,202.0,11.4,0,0,146.46,0.0
USER-00146,treatment,Mobile,Paid Search,South,Homepage,2,186.4,4.6,1,0,92.58,0.0
USER-00147,treatment,Mobile,Social,West,Features,3,233.1,6.8,0,0,103.14,0.0
USER-00148,treatment,Desktop,Organic Search,East,Homepage,7,216.8,4.7,1,1,145.07,145.07
USER-00149,treatment,Mobile,Organic Search,West,Pricing,7,232.5,8.1,1,0,70.99,0.0
USER-00150,treatment,Desktop,Paid Search,West,Homepage,2,360.1,6.0,0,0,134.59,0.0
USER-00151,treatment,Desktop,Email,South,Pricing,4,286.9,11.2,0,0,159.08,0.0
USER-00152,control,Mobile,Paid Search,North,Features,8,214.5,7.9,1,1,101.17,101.17
USER-00153,control,Mobile,Social,North,Pricing,2,224.1,6.2,0,0,123.44,0.0
USER-00154,control,Mobile,Email,West,Pricing,5,272.8,3.9,1,0,126.74,0.0
USER-00155,treatment,Tablet,Paid Search,East,Features,5,175.5,7.4,0,0,95.49,0.0
USER-00156,control,Mobile,Email,West,Homepage,4,92.0,6.3,1,0,113.23,0.0
USER-00157,control,Desktop,Organic Search,South,Homepage,5,217.5,3.7,0,0,132.4,0.0
USER-00158,treatment,Tablet,Paid Search,East,Features,2,229.8,5.7,1,1,92.91,92.91
USER-00159,control,Mobile,Email,South,Pricing,5,224.7,8.2,1,0,101.93,0.0
USER-00160,treatment,Tablet,Email,North,Features,8,221.0,8.2,0,0,107.4,0.0
USER-00161,control,Mobile,Organic Search,East,Pricing,3,156.2,4.1,0,1,115.04,115.04
USER-00162,control,Mobile,Email,North,Pricing,5,215.5,6.1,0,0,122.09,0.0
USER-00163,treatment,Mobile,Email,West,Homepage,5,328.5,7.0,0,1,77.58,77.58
USER-00164,treatment,Desktop,Social,North,Homepage,5,234.9,5.9,0,0,160.81,0.0
USER-00165,control,Mobile,Social,South,Pricing,6,241.0,8.4,0,0,110.8,0.0
USER-00166,control,Desktop,Paid Search,East,Pricing,3,185.3,5.4,1,0,101.76,0.0
USER-00167,control,Mobile,Social,West,Homepage,1,192.8,3.0,0,0,130.46,0.0
USER-00168,control,Desktop,Social,West,Homepage,3,229.9,7.6,1,1,60.5,60.5
USER-00169,control,Mobile,Organic Search,North,Pricing,3,250.3,5.6,0,0,98.0,0.0
USER-00170,control,Desktop,Social,East,Features,3,247.7,3.5,1,0,91.81,0.0
USER-00171,control,Desktop,Paid Search,South,Features,5,228.4,6.4,0,0,72.22,0.0
USER-00172,treatment,Mobile,Paid Search,North,Pricing,5,245.2,8.5,1,0,167.46,0.0
USER-00173,treatment,Mobile,Organic Search,West,Homepage,4,197.1,6.8,0,0,143.24,0.0
USER-00174,treatment,Desktop,Paid Search,North,Pricing,2,332.9,7.9,1,1,108.47,108.47
USER-00175,treatment,Tablet,Paid Search,East,Features,8,234.8,5.4,1,0,151.19,0.0
USER-00176,treatment,Mobile,Organic Search,South,Pricing,4,228.8,7.1,0,0,147.59,0.0
USER-00177,control,Mobile,Social,South,Features,4,186.1,6.5,1,1,106.06,106.06
USER-00178,control,Desktop,Organic Search,South,Pricing,2,262.8,6.4,1,1,127.38,127.38
USER-00179,control,Mobile,Social,North,Features,4,223.8,5.9,0,0,106.19,0.0
USER-00180,control,Tablet,Organic Search,North,Features,8,180.7,7.5,0,0,54.7,0.0
USER-00181,treatment,Desktop,Organic Search,West,Features,5,234.0,9.0,1,1,98.86,98.86
USER-00182,treatment,Mobile,Paid Search,North,Pricing,2,82.7,9.4,0,0,133.59,0.0
USER-00183,control,Desktop,Paid Search,West,Homepage,7,227.6,5.2,1,1,177.25,177.25
USER-00184,control,Mobile,Social,East,Features,5,207.9,6.9,0,0,143.34,0.0
USER-00185,control,Desktop,Email,West,Pricing,7,151.7,5.1,0,0,108.6,0.0
USER-00186,control,Desktop,Organic Search,West,Homepage,5,206.8,6.4,0,0,126.7,0.0
USER-00187,control,Desktop,Social,South,Pricing,5,299.3,4.3,1,1,132.72,132.72
USER-00188,treatment,Tablet,Email,South,Features,5,195.8,8.0,1,0,163.82,0.0
USER-00189,treatment,Mobile,Paid Search,South,Pricing,5,285.4,8.9,1,0,121.02,0.0
USER-00190,control,Mobile,Social,South,Homepage,6,122.4,5.2,0,0,123.46,0.0
USER-00191,control,Desktop,Email,East,Homepage,5,250.2,7.2,0,1,153.24,153.24
USER-00192,control,Mobile,Paid Search,West,Pricing,5,166.6,6.8,0,0,115.93,0.0
USER-00193,control,Desktop,Social,South,Homepage,3,186.4,6.3,0,0,156.95,0.0
USER-00194,control,Mobile,Organic Search,South,Pricing,4,233.5,6.8,0,0,127.19,0.0
USER-00195,control,Desktop,Social,South,Features,4,262.6,6.0,0,0,118.58,0.0
USER-00196,control,Desktop,Social,South,Pricing,3,155.1,6.5,0,0,98.51,0.0
USER-00197,treatment,Desktop,Social,South,Features,3,176.8,8.0,0,1,149.27,149.27
USER-00198,treatment,Tablet,Paid Search,West,Pricing,9,253.8,5.7,1,0,82.42,0.0
USER-00199,control,Desktop,Email,West,Features,11,217.6,8.4,0,0,152.83,0.0
USER-00200,control,Desktop,Organic Search,West,Features,5,278.7,7.5,0,1,118.16,118.16
USER-00201,treatment,Mobile,Social,West,Features,3,234.4,6.9,0,0,82.1,0.0
USER-00202,treatment,Mobile,Paid Search,West,Homepage,3,282.5,6.9,0,0,142.97,0.0
USER-00203,control,Desktop,Social,East,Homepage,5,291.9,7.3,0,0,105.35,0.0
USER-00204,treatment,Mobile,Social,North,Pricing,2,175.6,7.8,1,0,114.68,0.0
USER-00205,control,Desktop,Organic Search,West,Features,4,269.9,3.5,0,0,89.72,0.0
USER-00206,treatment,Mobile,Organic Search,East,Features,3,230.4,7.9,0,0,103.87,0.0
USER-00207,treatment,Desktop,Organic Search,West,Pricing,4,253.8,7.4,1,1,111.12,111.12
USER-00208,treatment,Mobile,Social,East,Pricing,8,245.9,4.9,1,0,108.76,0.0
USER-00209,treatment,Desktop,Paid Search,North,Pricing,6,281.4,8.6,0,0,143.84,0.0
USER-00210,treatment,Desktop,Social,West,Pricing,5,137.0,8.2,1,1,136.86,136.86
USER-00211,treatment,Desktop,Organic Search,East,Pricing,2,271.9,9.0,1,0,163.74,0.0
USER-00212,treatment,Mobile,Organic Search,South,Pricing,5,208.8,8.4,1,0,112.24,0.0
USER-00213,treatment,Mobile,Social,South,Pricing,6,283.2,9.4,0,0,148.63,0.0
USER-00214,treatment,Mobile,Paid Search,South,Homepage,3,322.4,5.4,1,0,107.88,0.0
USER-00215,treatment,Mobile,Paid Search,East,Features,5,224.6,6.7,0,0,120.45,0.0
USER-00216,treatment,Mobile,Email,North,Homepage,8,217.5,5.2,0,1,76.46,76.46
USER-00217,treatment,Tablet,Email,East,Homepage,5,243.8,5.4,0,1,130.5,130.5
USER-00218,control,Desktop,Paid Search,West,Homepage,5,211.5,5.6,1,0,145.01,0.0
USER-00219,treatment,Mobile,Email,West,Features,8,285.9,6.1,0,0,138.62,0.0
USER-00220,treatment,Desktop,Organic Search,West,Homepage,4,278.8,5.8,0,1,146.03,146.03
USER-00221,control,Tablet,Paid Search,East,Pricing,2,203.0,6.6,0,0,58.07,0.0
USER-00222,treatment,Mobile,Paid Search,North,Pricing,3,168.5,5.6,0,0,89.64,0.0
USER-00223,control,Desktop,Paid Search,North,Features,4,292.9,4.7,0,0,179.77,0.0
USER-00224,control,Desktop,Organic Search,West,Pricing,4,253.8,8.4,0,0,100.15,0.0
USER-00225,control,Desktop,Organic Search,North,Pricing,5,298.9,4.3,0,0,87.47,0.0
USER-00226,control,Mobile,Organic Search,South,Pricing,5,128.8,1.6,1,0,129.1,0.0
USER-00227,control,Tablet,Social,North,Features,4,248.3,6.2,1,0,101.6,0.0
USER-00228,control,Tablet,Organic Search,East,Homepage,8,202.3,5.2,1,0,127.0,0.0
USER-00229,treatment,Mobile,Paid Search,South,Features,6,200.8,6.8,0,0,152.0,0.0
USER-00230,control,Desktop,Social,South,Homepage,4,261.3,4.4,0,0,109.97,0.0
USER-00231,treatment,Mobile,Email,South,Pricing,5,308.7,6.6,0,1,111.8,111.8
USER-00232,treatment,Desktop,Social,North,Homepage,8,231.2,5.0,0,0,67.22,0.0
USER-00233,control,Desktop,Organic Search,South,Homepage,6,235.1,2.3,0,0,127.21,0.0
USER-00234,control,Desktop,Organic Search,North,Pricing,7,174.6,3.5,0,0,124.42,0.0
USER-00235,treatment,Desktop,Organic Search,East,Homepage,4,266.8,4.4,0,0,106.99,0.0
USER-00236,control,Mobile,Social,West,Homepage,2,177.7,4.9,0,0,114.7,0.0
USER-00237,control,Mobile,Paid Search,North,Homepage,6,227.8,4.2,0,0,118.53,0.0
USER-00238,treatment,Desktop,Social,East,Homepage,4,297.2,7.6,1,0,146.85,0.0
USER-00239,control,Mobile,Organic Search,South,Features,5,252.1,5.7,1,0,139.7,0.0
USER-00240,treatment,Mobile,Email,North,Features,6,261.3,4.8,1,0,135.26,0.0
USER-00241,control,Mobile,Email,West,Pricing,4,336.0,7.0,1,1,131.01,131.01
USER-00242,treatment,Desktop,Email,West,Features,7,221.1,7.9,0,1,140.34,140.34
USER-00243,treatment,Mobile,Paid Search,South,Homepage,4,180.0,6.8,0,0,117.71,0.0
USER-00244,control,Desktop,Social,South,Features,4,281.6,9.3,0,0,113.09,0.0
USER-00245,control,Desktop,Organic Search,West,Homepage,2,246.9,5.2,0,0,169.43,0.0
USER-00246,control,Desktop,Paid Search,East,Homepage,2,165.3,4.9,1,0,112.14,0.0
USER-00247,treatment,Desktop,Email,South,Features,3,279.5,8.1,1,1,122.6,122.6
USER-00248,control,Desktop,Paid Search,East,Features,5,329.0,5.9,0,0,142.36,0.0
USER-00249,treatment,Mobile,Email,West,Pricing,8,148.3,4.8,1,1,145.13,145.13
USER-00250,control,Mobile,Email,North,Features,4,223.4,4.6,1,0,108.46,0.0
USER-00251,treatment,Desktop,Paid Search,West,Features,4,201.8,8.5,0,0,89.16,0.0
USER-00252,treatment,Desktop,Paid Search,East,Pricing,5,316.1,6.2,0,1,75.23,75.23
USER-00253,treatment,Desktop,Paid Search,North,Pricing,5,291.9,6.6,1,1,119.12,119.12
USER-00254,control,Desktop,Email,North,Homepage,8,252.3,8.1,1,0,76.92,0.0
USER-00255,control,Mobile,Email,North,Pricing,5,260.9,7.5,0,0,130.27,0.0
USER-00256,treatment,Mobile,Social,North,Homepage,3,176.8,6.8,0,0,95.65,0.0
USER-00257,treatment,Desktop,Organic Search,South,Features,4,259.1,3.9,1,0,101.85,0.0
USER-00258,control,Desktop,Paid Search,South,Homepage,6,218.3,2.2,0,0,82.27,0.0
USER-00259,treatment,Mobile,Organic Search,West,Features,3,170.6,5.4,0,0,57.03,0.0
USER-00260,control,Mobile,Social,South,Features,3,302.2,5.8,0,0,87.73,0.0
USER-00261,control,Mobile,Email,East,Pricing,3,185.1,5.4,1,0,73.01,0.0
USER-00262,treatment,Mobile,Organic Search,North,Features,1,197.6,5.6,0,0,131.13,0.0
USER-00263,treatment,Mobile,Paid Search,East,Homepage,6,187.1,6.6,0,0,135.88,0.0
USER-00264,treatment,Mobile,Email,West,Pricing,4,259.9,7.5,1,0,86.64,0.0
USER-00265,control,Mobile,Social,North,Homepage,1,192.1,3.6,0,0,87.63,0.0
USER-00266,treatment,Mobile,Paid Search,North,Pricing,3,256.6,5.8,0,0,118.49,0.0
USER-00267,control,Mobile,Email,North,Features,7,204.1,7.5,0,0,109.75,0.0
USER-00268,control,Mobile,Email,West,Homepage,4,175.3,4.2,0,1,100.79,100.79
USER-00269,treatment,Mobile,Social,West,Homepage,2,158.5,6.5,0,0,146.4,0.0
USER-00270,treatment,Mobile,Organic Search,South,Pricing,4,165.0,5.3,0,0,128.52,0.0
USER-00271,control,Desktop,Organic Search,West,Features,6,98.4,7.1,0,0,111.37,0.0
USER-00272,control,Desktop,Paid Search,South,Homepage,4,204.5,5.2,0,0,146.15,0.0
USER-00273,control,Mobile,Paid Search,East,Homepage,4,243.0,5.1,0,0,138.15,0.0
USER-00274,treatment,Mobile,Email,West,Homepage,4,261.2,4.4,0,0,97.43,0.0
USER-00275,control,Mobile,Paid Search,North,Homepage,4,257.2,2.9,0,0,99.23,0.0
USER-00276,control,Desktop,Social,North,Features,3,193.0,5.8,0,0,81.68,0.0
USER-00277,control,Mobile,Organic Search,West,Features,2,137.0,4.6,0,0,143.42,0.0
USER-00278,control,Desktop,Email,North,Pricing,8,245.9,8.1,1,1,131.32,131.32
USER-00279,treatment,Desktop,Organic Search,West,Features,3,232.4,6.9,1,0,92.65,0.0
USER-00280,control,Desktop,Email,West,Pricing,7,263.8,8.7,1,0,139.41,0.0
USER-00281,treatment,Desktop,Organic Search,North,Homepage,3,245.9,4.6,0,0,129.59,0.0
USER-00282,treatment,Mobile,Paid Search,West,Homepage,3,240.7,7.7,1,0,92.29,0.0
USER-00283,control,Mobile,Paid Search,South,Homepage,2,170.2,5.7,1,1,100.17,100.17
USER-00284,treatment,Mobile,Paid Search,West,Features,5,246.4,5.1,0,0,104.93,0.0
USER-00285,control,Mobile,Paid Search,West,Homepage,7,161.6,5.7,0,1,104.52,104.52
USER-00286,treatment,Desktop,Social,West,Features,7,338.5,4.3,0,0,154.44,0.0
USER-00287,treatment,Mobile,Social,South,Pricing,4,213.4,6.1,0,0,79.64,0.0
USER-00288,treatment,Mobile,Email,West,Features,4,213.1,8.4,1,0,146.03,0.0
USER-00289,treatment,Mobile,Paid Search,South,Pricing,4,178.7,6.8,1,1,103.39,103.39
USER-00290,treatment,Mobile,Social,North,Features,5,181.4,8.5,0,0,95.55,0.0
USER-00291,treatment,Mobile,Email,West,Homepage,3,238.5,8.4,0,0,109.97,0.0
USER-00292,control,Mobile,Social,North,Features,7,282.9,5.3,0,0,110.09,0.0
USER-00293,treatment,Tablet,Organic Search,South,Pricing,3,232.1,6.7,0,0,118.34,0.0
USER-00294,treatment,Mobile,Paid Search,East,Pricing,3,216.5,6.7,0,0,104.48,0.0
